#{"t_start": 1781619898.2481868, "env_id": "None"}
r,l,t,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc
-615.951329,484,450.921894,0.15057066484849543,0.14935884305084846,0.4604922831058502,0.4604922831058502,0,100.0,0.0641156949151539,1,-500.0,-600.0,1,100.0,2,0,2,0.14935884305084846
-604.772443,315,451.556672,0.1537410530573565,0.14847789516261967,2.3237855434417725,2.0,1,100.0,0.1522104837380328,1,-500.0,-600.0,1,100.0,3,0,3,0.14847789516261967
-609.421334,383,452.333037,0.15450838935267372,0.14977896658262527,1.7971806526184082,1.7971806526184082,0,100.0,0.022103341737472748,1,-500.0,-600.0,1,100.0,2,0,2,0.14977896658262527
-609.598404,383,453.012132,0.15227884879678866,0.14701569090205183,2.0402979850769043,2.0,1,100.0,0.2984309097948168,1,-500.0,-600.0,1,100.0,2,0,2,0.14701569090205183
-608.969145,379,454.941013,0.15024523050241212,0.14643791668373152,1.4467792510986328,1.4467792510986328,0,100.0,0.35620833162684773,1,-500.0,-600.0,1,100.0,1,0,1,0.14643791668373152
-609.398712,380,455.499157,0.15362955185682747,0.14904680670631157,1.741443157196045,1.741443157196045,0,100.0,0.09531932936884258,1,-500.0,-600.0,1,100.0,1,0,1,0.14904680670631157
-609.154414,379,456.022225,0.1510204908240488,0.14988625474553552,0.4310097098350525,0.4310097098350525,0,100.0,0.01137452544644757,1,-500.0,-600.0,1,100.0,1,0,1,0.14988625474553552
-609.238764,378,456.563656,0.15079939358171665,0.1498915045731946,0.3449978232383728,0.3449978232383728,0,100.0,0.010849542680538282,1,-500.0,-600.0,1,100.0,3,0,3,0.1498915045731946
-610.96497,406,457.109715,0.15404079950414556,0.14877764160940873,2.0103883743286133,2.0,1,100.0,0.12223583905912605,1,-500.0,-600.0,1,100.0,1,0,1,0.14877764160940873
-610.907665,408,459.062777,0.15071100866843615,0.14931826175563048,0.5292438268661499,0.5292438268661499,0,100.0,0.06817382443695119,1,-500.0,-600.0,1,100.0,0,0,0,0.14931826175563048
-610.77877,408,459.663148,0.15006339606870656,0.14718484558941997,1.0938491821289062,1.0938491821289062,0,100.0,0.28151544105800286,1,-500.0,-600.0,1,100.0,0,0,0,0.14718484558941997
-610.316171,398,460.216951,0.1504771281825869,0.1488701998214973,0.6106327772140503,0.6106327772140503,0,100.0,0.1129800178502699,1,-500.0,-600.0,1,100.0,1,0,1,0.1488701998214973
-604.573294,315,460.649526,0.15205937957827417,0.14855403983029314,1.332029104232788,1.332029104232788,0,100.0,0.14459601697068558,1,-500.0,-600.0,1,100.0,1,0,1,0.14855403983029314
-609.136278,380,461.180385,0.15141055368002224,0.1496185510146531,0.680961012840271,0.680961012840271,0,100.0,0.038144898534689387,1,-500.0,-600.0,1,100.0,3,0,3,0.1496185510146531
-630.778267,981,464.421544,0.15414140796465248,0.14942235828504688,1.793238878250122,1.793238878250122,0,100.0,0.057764171495311434,1,-500.0,-600.0,1,100.0,6,0,6,0.14942235828504688
-617.261385,499,465.423712,0.15043161225598312,0.14770259351758783,1.03702712059021,1.03702712059021,0,100.0,0.22974064824121676,1,-500.0,-600.0,1,100.0,1,0,1,0.14770259351758783
-614.765632,467,466.278504,0.1503025130058984,0.14773595802035008,0.9752908945083618,0.9752908945083618,0,100.0,0.22640419796499112,1,-500.0,-600.0,1,100.0,5,0,5,0.14773595802035008
