#{"t_start": 1781613481.9531546, "env_id": "None"}
r,l,t,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc
-598.942614,177,263.866184,0.1526962134123436,0.1493664557721073,1.265307903289795,1.265307903289795,0,100.0,0.06335442278926906,1,-500.0,-600.0,1,100.0,2,0,2,0.1493664557721073
-599.042084,178,264.115479,0.15107727411634428,0.14748095697566466,1.366600513458252,1.366600513458252,0,100.0,0.2519043024335338,1,-500.0,-600.0,1,100.0,2,0,2,0.14748095697566466
-601.182264,213,264.551878,0.1525547032501351,0.14908815326384792,1.3172889947891235,1.3172889947891235,0,100.0,0.09118467361520777,1,-500.0,-600.0,1,100.0,2,0,2,0.14908815326384792
-600.646484,213,264.949847,0.15030417431292917,0.14504101641819234,2.362037181854248,2.0,1,100.0,0.4958983581807658,1,-500.0,-600.0,1,100.0,2,0,2,0.14504101641819234
-598.55805,173,265.257649,0.15242459846758502,0.14781952918164012,1.7499263286590576,1.7499263286590576,0,100.0,0.21804708183598698,1,-500.0,-600.0,1,100.0,1,0,1,0.14781952918164012
-599.81571,191,265.58337,0.1508083560689306,0.14554519817419376,2.0402140617370605,2.0,1,100.0,0.4454801825806237,1,-500.0,-600.0,1,100.0,2,0,2,0.14554519817419376
-599.249669,178,265.955272,0.1502887840250407,0.1480934964899756,0.8342092633247375,0.8342092633247375,0,100.0,0.19065035100243877,1,-500.0,-600.0,1,100.0,2,0,2,0.1480934964899756
-600.095796,195,268.337579,0.15055277127635347,0.14862164886040932,0.7338265180587769,0.7338265180587769,0,100.0,0.13783511395906722,1,-500.0,-600.0,1,100.0,3,0,3,0.14862164886040932
-598.431513,177,268.697142,0.15318422707974141,0.14792106918500458,2.4456443786621094,2.0,1,100.0,0.2078930814995411,1,-500.0,-600.0,1,100.0,3,0,3,0.14792106918500458
-598.970397,177,268.944704,0.15339939685837414,0.1490910978439313,1.6371536254882812,1.6371536254882812,0,100.0,0.09089021560687027,1,-500.0,-600.0,1,100.0,2,0,2,0.1490910978439313
-597.941449,169,269.162063,0.15022375308506597,0.14496059519032914,2.126591682434082,2.0,1,100.0,0.5039404809670855,1,-500.0,-600.0,1,100.0,2,0,2,0.14496059519032914
-597.581941,165,269.397482,0.1517399868276951,0.14965708463462565,0.791502833366394,0.791502833366394,0,100.0,0.03429153653743411,1,-500.0,-600.0,1,100.0,2,0,2,0.14965708463462565
-599.051885,178,269.637895,0.15241253916693787,0.14989536945296386,0.9565244913101196,0.9565244913101196,0,100.0,0.010463054703613306,1,-500.0,-600.0,1,100.0,1,0,1,0.14989536945296386
-598.14344,173,269.878733,0.15020510402576726,0.14711505556204624,1.1742184162139893,1.1742184162139893,0,100.0,0.2884944437953757,1,-500.0,-600.0,1,100.0,3,0,3,0.14711505556204624
-598.292801,172,270.108249,0.15036980905222078,0.14611029800806988,1.6186141967773438,1.6186141967773438,0,100.0,0.3889701991930117,1,-500.0,-600.0,1,100.0,3,0,3,0.14611029800806988
-599.817223,193,270.375254,0.15087504439149058,0.1469571212923743,1.4888107776641846,1.4888107776641846,0,100.0,0.3042878707625707,1,-500.0,-600.0,1,100.0,4,0,4,0.1469571212923743
-599.197152,179,270.619804,0.15282947498773122,0.1475663170929944,2.1813716888427734,2.0,1,100.0,0.2433682907005602,1,-500.0,-600.0,1,100.0,3,0,3,0.1475663170929944
-597.261152,158,270.837781,0.15112362928688516,0.14995106946088757,0.44557273387908936,0.44557273387908936,0,100.0,0.004893053911242395,1,-500.0,-600.0,1,100.0,3,0,3,0.14995106946088757
-598.966725,177,271.072991,0.15074007623431904,0.1485249031780679,0.8417657613754272,0.8417657613754272,0,100.0,0.1475096821932087,1,-500.0,-600.0,1,100.0,3,0,3,0.1485249031780679
-599.784839,190,272.695119,0.15219337354100423,0.1476163074583008,1.7392851114273071,1.7392851114273071,0,100.0,0.2383692541699206,1,-500.0,-600.0,1,100.0,1,0,1,0.1476163074583008
-599.02729,181,272.932139,0.1513686638060759,0.14906215478813156,0.8764734268188477,0.8764734268188477,0,100.0,0.09378452118684322,1,-500.0,-600.0,1,100.0,3,0,3,0.14906215478813156
-598.310374,170,273.160483,0.1528550161672021,0.14865490711203436,1.5960414409637451,1.5960414409637451,0,100.0,0.13450928879656376,1,-500.0,-600.0,1,100.0,1,0,1,0.14865490711203436
-600.746871,210,273.438972,0.154293372570782,0.14920789800437254,1.9324803352355957,1.9324803352355957,0,100.0,0.07921019956274589,1,-500.0,-600.0,1,100.0,4,0,4,0.14920789800437254
-600.277679,191,273.70273,0.15363155938234013,0.14922595954980533,1.6741279363632202,1.6741279363632202,0,100.0,0.0774040450194663,1,-500.0,-600.0,1,100.0,1,0,1,0.14922595954980533
-598.866835,177,273.928873,0.15126011387807786,0.1487358301928956,0.9592278003692627,0.9592278003692627,0,100.0,0.12641698071043928,1,-500.0,-600.0,1,100.0,1,0,1,0.1487358301928956
-597.864777,168,274.150206,0.15291381299745735,0.1493941518218801,1.3374712467193604,1.3374712467193604,0,100.0,0.06058481781198999,1,-500.0,-600.0,1,100.0,2,0,2,0.1493941518218801
-599.487531,181,274.387757,0.15339601494278773,0.14912447944582505,1.6231834888458252,1.6231834888458252,0,100.0,0.08755205541749467,1,-500.0,-600.0,1,100.0,0,0,0,0.14912447944582505
-599.201215,185,274.643376,0.15067405655592878,0.14708577192540429,1.3635481595993042,1.3635481595993042,0,100.0,0.29142280745957094,1,-500.0,-600.0,1,100.0,2,0,2,0.14708577192540429
-598.215615,176,274.898008,0.1500559439980667,0.14755095339527227,0.9518964290618896,0.9518964290618896,0,100.0,0.24490466047277226,1,-500.0,-600.0,1,100.0,2,0,2,0.14755095339527227
-597.593203,167,275.138924,0.15428559977321027,0.14929917118615005,1.8948428630828857,1.8948428630828857,0,100.0,0.07008288138499463,1,-500.0,-600.0,1,100.0,2,0,2,0.14929917118615005
-599.751568,183,276.775935,0.1515064347909863,0.14887018158463286,1.0017762184143066,1.0017762184143066,0,100.0,0.11298184153671342,1,-500.0,-600.0,1,100.0,2,0,2,0.14887018158463286
-597.485969,160,276.983769,0.15071029544160955,0.1457821990970131,1.8726766109466553,1.8726766109466553,0,100.0,0.4217800902986901,1,-500.0,-600.0,1,100.0,1,0,1,0.1457821990970131
-599.410012,182,277.218741,0.15505242791232696,0.14978927001759013,2.1808674335479736,2.0,1,100.0,0.02107299824098685,1,-500.0,-600.0,1,100.0,4,0,4,0.14978927001759013
-600.218085,205,277.493812,0.15255175346587033,0.14792486887993764,1.758216142654419,1.758216142654419,0,100.0,0.20751311200623568,1,-500.0,-600.0,1,100.0,3,0,3,0.14792486887993764
-596.951635,150,277.712868,0.1527814837389282,0.14751832584419136,2.295741081237793,2.0,1,100.0,0.2481674155808633,1,-500.0,-600.0,1,100.0,2,0,2,0.14751832584419136
-599.676846,187,277.985562,0.15296197346014606,0.14962796694986324,1.2669224739074707,1.2669224739074707,0,100.0,0.03720330501367497,1,-500.0,-600.0,1,100.0,2,0,2,0.14962796694986324
-600.123256,194,278.254103,0.15131577400809257,0.14617688113161809,1.9527792930603027,1.9527792930603027,0,100.0,0.38231188683819084,1,-500.0,-600.0,1,100.0,2,0,2,0.14617688113161809
-598.95335,176,278.511023,0.15406080788569965,0.14978034957341407,1.626574158668518,1.626574158668518,0,100.0,0.021965042658592115,1,-500.0,-600.0,1,100.0,2,0,2,0.14978034957341407
-599.433624,184,278.800447,0.15391950110167169,0.1494116648727489,1.7129777669906616,1.7129777669906616,0,100.0,0.058833512725109394,1,-500.0,-600.0,1,100.0,2,0,2,0.1494116648727489
-599.944123,197,279.187305,0.15183601154004653,0.14810315866699725,1.418484091758728,1.418484091758728,0,100.0,0.18968413330027467,1,-500.0,-600.0,1,100.0,3,0,3,0.14810315866699725
-600.274019,202,279.531878,0.15005133253318792,0.14922808494362486,0.31283408403396606,0.31283408403396606,0,100.0,0.07719150563751387,1,-500.0,-600.0,1,100.0,3,0,3,0.14922808494362486
