Agent,Step,Dataset Index,Proposed Action kW,Safe Action kW,Correction kW,Action kW,Action Label,Reward,Estimated Reward Sum,SOC,P_grid,P_pv,P_load,Voltage PCC,Battery Heat Loss Power,Price,CO2 Intensity,Success,Shield Reason,Fallback Used,Blocked,Forecast Warning,SOC Low Margin,SOC High Margin,Voltage Margin,Local energy effect,Economic effect,Grid import penalty,Voltage stability effect,Battery health effect,CO2 effect,SOC safety effect
POMDP-LSTM-PPO,2012,28292,1.811864972114563,1.811864972114563,0.0,1.811864972114563,Discharge,-0.0005267153393299119,-0.0005267153393299179,0.34001337619047195,4.173856361218771,0.185112,6.170833333333334,0.9973913397742383,0.095361314321819,64.64435,0.334,1.0,,,,,,,,0.04992442430286408,-0.0370997318263485,-0.010434640903046927,-0.002608660225761672,-0.00023840328580454755,-6.970340123235349e-05,0.0
POMDP-LSTM-PPO,2013,28293,1.9500685930252075,1.9500685930252075,0.0,1.9500685930252075,Discharge,0.001577789359906349,0.0015777893599063478,0.33488161673514244,3.8999314069747912,0.0,5.849999999999999,0.9975625428706408,0.10263518910658975,64.64435,0.334,1.0,,,,,,,,0.04875171482563019,-0.034664922991664744,-0.009749828517436979,-0.0024374571293591663,-0.00025658797276647443,-6.512885449647902e-05,0.0
POMDP-LSTM-PPO,2014,28294,1.9835315942764282,1.9835315942764282,0.0,1.9835315942764282,Discharge,-0.0008968106759592274,-0.0008968106759592298,0.32966179675020446,4.174801739056906,0.0,6.158333333333334,0.9973907489130894,0.10439639969875926,64.64435,0.334,1.0,,,,,,,,0.04958828985691071,-0.03710813491002796,-0.010437004347642265,-0.002609251086910569,-0.0002609909992468982,-6.971918904225033e-05,0.0
POMDP-LSTM-PPO,2015,28295,1.8767578601837158,1.8767578601837158,0.0,1.8767578601837158,Discharge,-0.006139907002668338,-0.0061399070026683334,0.3247229602760368,4.389908806482951,0.0,6.266666666666667,0.9972563069959481,0.09877672948335335,64.64435,0.334,1.0,,,,,,,,0.0469189465045929,-0.039020135186225345,-0.010974772016207376,-0.0027436930040518615,-0.00024694182370838344,-7.331147706826528e-05,0.0
POMDP-LSTM-PPO,2016,28296,1.9751149415969849,1.9751149415969849,0.0,1.9751149415969849,Discharge,-0.014151272474813478,-0.014151272474813474,0.3195252893770974,4.504051725069682,0.0,6.479166666666667,0.9971849676718314,0.10395341797878856,79.30646,0.351,1.0,,,,,,,,0.04937787353992462,-0.04911505472117335,-0.011260129312674205,-0.0028150323281685985,-0.0002598835449469714,-7.904610777497292e-05,0.0
POMDP-LSTM-PPO,2017,28297,1.8749226331710815,1.8749226331710815,0.0,1.8749226331710815,Discharge,-0.011963202296311305,-0.011963202296311308,0.3145912824476998,4.170910700162252,0.0,6.045833333333333,0.9973931808123986,0.09868013858795155,79.30646,0.351,1.0,,,,,,,,0.04687306582927704,-0.045482272358323576,-0.01042727675040563,-0.002606819187601417,-0.00024670034646987886,-7.319948278784752e-05,0.0
POMDP-LSTM-PPO,2018,28298,1.75924813747406,1.75924813747406,0.0,1.75924813747406,Discharge,-0.010962930379218859,-0.010962930379218864,0.30996168208592595,3.894918529192606,0.0,5.654166666666666,0.9975656759192546,0.09259200723547674,79.30646,0.351,1.0,,,,,,,,0.0439812034368515,-0.04247267757406743,-0.009737296322981514,-0.002434324080745398,-0.00023148001808869184,-6.835582018733024e-05,0.0
POMDP-LSTM-PPO,2019,28299,1.720910906791687,1.720910906791687,0.0,1.720910906791687,Discharge,-0.023107298159782224,-0.023107298159782227,0.30543296917331625,4.6915890932083135,0.0,6.4125000000000005,0.9970677568167449,0.09057425825219395,79.30646,0.351,1.0,,,,,,,,0.04302277266979218,-0.0511600818790822,-0.011728972733020784,-0.0029322431832551343,-0.0002264356456304849,-8.233738858580592e-05,0.0
POMDP-LSTM-PPO,2020,28300,1.6816338300704956,1.6816338300704956,0.0,1.6816338300704956,Discharge,-0.019408463941768407,-0.019408463941768404,0.3010076169889202,4.672532836596171,0.0,6.354166666666667,0.9970796669771274,0.08850704368792073,72.44562,0.351,1.0,,,,,,,,0.042040845751762396,-0.04654437401866566,-0.011681332091490429,-0.0029203330228726454,-0.0002212676092198018,-8.200295128226282e-05,0.0
POMDP-LSTM-PPO,2021,28301,1.6230154037475586,1.6230154037475586,0.0,1.6230154037475586,Discharge,-0.01557381909555448,-0.015573819095554484,0.29673652382116344,4.268651262919108,0.0,5.891666666666667,0.9973320929606756,0.08542186335513456,72.44562,0.351,1.0,,,,,,,,0.040575385093688965,-0.04252119950456921,-0.010671628157297771,-0.002667907039324402,-0.0002135546583878364,-7.491482966423035e-05,0.0
POMDP-LSTM-PPO,2022,28302,1.5329675674438477,1.5329675674438477,0.0,1.5329675674438477,Discharge,-0.025545048864578423,-0.025545048864578427,0.29270239864367964,4.858699099222819,0.0,6.391666666666667,0.9969633130629858,0.0806825035496761,72.44562,0.351,1.0,,,,,,,,0.038324189186096196,-0.048398826937537824,-0.012146747748057048,-0.003036686937014199,-0.00020170625887419027,-8.527016919136048e-05,0.0
POMDP-LSTM-PPO,2023,28303,1.526901364326477,1.526901364326477,0.0,1.526901364326477,Discharge,-0.013381363857266008,-0.013381363857266007,0.28868423715860997,3.918931969006856,0.0,5.445833333333333,0.9975506675193706,0.08036322970139344,72.44562,0.351,1.0,,,,,,,,0.03817253410816193,-0.03903755023197185,-0.00979732992251714,-0.002449332480629396,-0.00020090807425348362,-6.877725605607033e-05,0.0
POMDP-LSTM-PPO,2024,28304,1.4894567728042603,1.4894567728042603,0.0,1.4894567728042603,Discharge,-0.01894126043697555,-0.018941260436975547,0.284764614072283,4.543876560529074,0.0,6.033333333333334,0.9971600771496694,0.07839246172653992,66.74546,0.355,1.0,,,,,,,,0.03723641932010651,-0.041701430542163,-0.011359691401322685,-0.002839922850330634,-0.00019598115431634984,-8.065380894939106e-05,0.0
POMDP-LSTM-PPO,2025,28305,1.5051379203796387,1.5051379203796387,0.0,1.5051379203796387,Discharge,-0.021130155805056214,-0.021130155805056214,0.28080372480812604,4.753195412953694,0.0,6.258333333333333,0.9970292528669039,0.07921778528313879,66.74546,0.355,1.0,,,,,,,,0.03762844800949097,-0.04362245446727909,-0.011882988532384236,-0.0029707471330960855,-0.000198044463207847,-8.436921857992807e-05,0.0
POMDP-LSTM-PPO,2026,28306,1.4429314136505127,1.4429314136505127,0.0,1.4429314136505127,Discharge,-0.02395687694904378,-0.02395687694904378,0.2770065368774668,4.857068586349487,0.0,6.3,0.9969643321335316,0.0759437586131848,66.74546,0.355,1.0,,,,,,,,0.03607328534126282,-0.044575750594023855,-0.012142671465873719,-0.003035667866468361,-0.000189859396532962,-8.621296740770339e-05,0.0
POMDP-LSTM-PPO,2027,28307,1.426984190940857,1.426984190940857,0.0,1.426984190940857,Discharge,-0.01156233531493176,-0.01156233531493176,0.27325131532235925,3.8188491423924766,0.0,5.245833333333334,0.9976132192860047,0.07510443110215029,66.74546,0.355,1.0,,,,,,,,0.035674604773521426,-0.03504749086844381,-0.009547122855981192,-0.00238678071399534,-0.00018776107775537575,-6.778457227746646e-05,0.0
POMDP-LSTM-PPO,2028,28308,1.3272796869277954,1.3272796869277954,0.0,1.3272796869277954,Discharge,-0.01780355394324739,-0.017803553943247393,0.2697584740409703,4.293553646405538,0.0,5.620833333333334,0.9973165289709965,0.06985682562777863,63.20895,0.36,1.0,,,,,,,,0.03318199217319489,-0.03731626494172023,-0.010733884116013845,-0.002683471029003459,-0.0001746420640694466,-7.728396563529968e-05,0.0
POMDP-LSTM-PPO,2029,28309,1.3232146501541138,1.3232146501541138,0.0,1.3232146501541138,Discharge,-0.015931070506904444,-0.015931070506904448,0.26627633022477526,4.126785349845886,0.0,5.45,0.9974207591563463,0.06964287632390065,63.20895,0.36,1.0,,,,,,,,0.03308036625385285,-0.035866843215381916,-0.010316963374614716,-0.002579240843653685,-0.00017410719080975163,-7.428213629722595e-05,0.0
POMDP-LSTM-PPO,2030,28310,1.253052830696106,1.253052830696106,0.0,1.253052830696106,Discharge,-0.0032203141035822575,-0.003220314103582257,0.262978822775575,2.9052805026372273,0.0,4.158333333333333,0.9981841996858517,0.0659501489840055,63.20895,0.36,1.0,,,,,,,,0.03132632076740265,-0.02525046287873606,-0.007263201256593068,-0.001815800314148297,-0.00016487537246001377,-5.229504904747009e-05,0.0
POMDP-LSTM-PPO,2031,28311,1.0834832191467285,1.0834832191467285,0.0,1.0834832191467285,Discharge,-0.010430154376806873,-0.010430154376806873,0.2601275511462415,3.1581834475199377,0.0,4.241666666666666,0.9980261353453002,0.05702543258666986,63.20895,0.36,1.0,,,,,,,,0.027087080478668216,-0.02744850069845337,-0.007895458618799844,-0.0019738646546998417,-0.00014256358146667465,-5.684730205535888e-05,0.0
POMDP-LSTM-PPO,2032,28312,1.0623667240142822,1.0623667240142822,0.0,1.0623667240142822,Discharge,-0.009707851007797494,-0.009707851007797497,0.2573318492409407,3.170966609319051,0.0,4.233333333333333,0.9980181458691756,0.05591403810601479,60.00058,0.361,1.0,,,,,,,,0.026559168100357057,-0.026160727411469267,-0.007927416523297629,-0.001981854130824412,-0.000139785095265037,-5.723594729820888e-05,0.0
POMDP-LSTM-PPO,2033,28313,1.0076425075531006,1.0076425075531006,0.0,1.0076425075531006,Discharge,-0.014303161530847213,-0.014303161530847215,0.2546801584315905,3.454857492446899,0.0,4.4624999999999995,0.9978407140672206,0.053033816187005235,60.00058,0.361,1.0,,,,,,,,0.025191062688827516,-0.02850284983757194,-0.008637143731117248,-0.0021592859327793645,-0.0001325845404675131,-6.236017773866652e-05,0.0
POMDP-LSTM-PPO,2034,28314,1.0079941749572754,1.0079941749572754,0.0,1.0079941749572754,Discharge,-0.01618926448373835,-0.016189264483738343,0.2520275421817029,3.621172491709391,0.0,4.629166666666666,0.9977367671926817,0.053052324997751275,60.00058,0.361,1.0,,,,,,,,0.025199854373931886,-0.029874961845108693,-0.009052931229273477,-0.002263232807318327,-0.00013263081249437818,-6.536216347535451e-05,0.0
POMDP-LSTM-PPO,2035,28315,0.9813128113746643,0.9813128113746643,0.0,0.9813128113746643,Discharge,-0.009418938149564408,-0.00941893814956441,0.24944514004650645,2.9686871886253354,0.0,3.9499999999999997,0.9981445705071091,0.05164804270392964,60.00058,0.361,1.0,,,,,,,,0.02453282028436661,-0.02449190605896231,-0.007421717971563339,-0.0018554294928908588,-0.0001291201067598241,-5.358480375468731e-05,0.0
POMDP-LSTM-PPO,2036,28316,0.8713868856430054,0.8713868856430054,0.0,0.8713868856430054,Discharge,-0.01518634810161333,-0.015186348101613331,0.24715201666323539,3.3452797810236614,0.0,4.216666666666667,0.9979092001368602,0.045862467665421285,57.26708,0.364,1.0,,,,,,,,0.021784672141075136,-0.026341480665811372,-0.008363199452559153,-0.0020907998631397584,-0.00011465616916355322,-6.0884092014630644e-05,0.0
POMDP-LSTM-PPO,2037,28317,0.8773505687713623,0.8773505687713623,0.0,0.8773505687713623,Discharge,-0.003909006864658032,-0.003909006864658032,0.24484319937699495,2.3351494312286376,0.0,3.2125,0.9985405316054821,0.04617634572480849,57.26708,0.364,1.0,,,,,,,,0.021933764219284058,-0.018387488527392176,-0.005837873578071594,-0.0014594683945179376,-0.00011544086431202122,-4.249971964836121e-05,0.0
POMDP-LSTM-PPO,2038,28318,0.7488994598388672,0.7488994598388672,0.0,0.7488994598388672,Discharge,-0.012787834998672563,-0.012787834998672563,0.2428724113247874,2.851100540161133,0.0,3.6,0.9982180621623994,0.039415761044150864,57.26708,0.364,1.0,,,,,,,,0.01872248649597168,-0.02245020287419949,-0.0071277513504028325,-0.0017819378376006112,-9.853940261037717e-05,-5.1890029830932625e-05,0.0
