episode_reward,episode_length,wall_time,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc,source_file,episode,timesteps,moving_average_reward_5,moving_average_reward_10
-599.613204,188,290.592764,0.1517484421574167,0.1478631842858893,1.47639799118042,1.47639799118042,0,100.0,0.2136815714110618,1,-500.0,-600.0,1,100.0,3,0,3,0.1478631842858893,mdp_train.monitor.csv,93,120888,-599.963886,-599.8232608
-599.726804,184,290.842993,0.1527253611884813,0.149289247529777,1.3057231903076172,1.3057231903076172,0,100.0,0.0710752470222925,1,-500.0,-600.0,1,100.0,3,0,3,0.149289247529777,mdp_train.monitor.csv,94,121072,-599.8274982,-599.7587662
-601.515987,221,291.129079,0.1509279099154823,0.1492158115115015,0.6505973935127258,0.6505973935127258,0,100.0,0.0784188488498455,1,-500.0,-600.0,1,100.0,1,0,1,0.1492158115115015,mdp_train.monitor.csv,95,121293,-600.3262088,-599.9190218
-600.294056,208,291.415729,0.1506109710656914,0.1497767901020246,0.3169887661933899,0.3169887661933899,0,100.0,0.022320989797539,1,-500.0,-600.0,1,100.0,0,0,0,0.1497767901020246,mdp_train.monitor.csv,96,121501,-600.3714594,-599.9509737999999
-599.506067,182,291.680704,0.151312150518655,0.1460489926239181,2.265740156173706,2.0,1,100.0,0.3951007376081811,1,-500.0,-600.0,1,100.0,3,0,3,0.1460489926239181,mdp_train.monitor.csv,97,121683,-600.1312236000001,-600.070428
-600.634214,215,291.964907,0.1516371388658879,0.1487993890207847,1.0783449411392212,1.0783449411392212,0,100.0,0.1200610979215227,1,-500.0,-600.0,1,100.0,4,0,4,0.1487993890207847,mdp_train.monitor.csv,98,121898,-600.3354256,-600.1496558
-601.182365,216,292.26059,0.150140663639103,0.1494882392361759,0.247921273112297,0.247921273112297,0,100.0,0.0511760763824087,1,-500.0,-600.0,1,100.0,1,0,1,0.1494882392361759,mdp_train.monitor.csv,99,122114,-600.6265378,-600.2270179999999
-600.626655,206,292.570899,0.1537129364719027,0.1497819881893597,1.493760347366333,1.493760347366333,0,100.0,0.0218011810640267,1,-500.0,-600.0,1,100.0,1,0,1,0.1497819881893597,mdp_train.monitor.csv,100,122320,-600.4486714000001,-600.3874401
-600.058381,202,292.850527,0.1506522565358072,0.1499692607145069,0.2595384120941162,0.2595384120941162,0,100.0,0.0030739285493047,1,-500.0,-600.0,1,100.0,1,0,1,0.1499692607145069,mdp_train.monitor.csv,101,122522,-600.4015364,-600.3864979000001
-600.607073,206,293.149043,0.1504900290440082,0.1494666637220959,0.3888788223266601,0.3888788223266601,0,100.0,0.0533336277904028,1,-500.0,-600.0,1,100.0,4,0,4,0.1494666637220959,mdp_train.monitor.csv,102,122728,-600.6217376000001,-600.3764806
-599.711998,194,295.42022,0.1524176196373362,0.1498165400729907,0.988410234451294,0.988410234451294,0,100.0,0.0183459927009244,1,-500.0,-600.0,1,100.0,3,0,3,0.1498165400729907,mdp_train.monitor.csv,103,122922,-600.4372944,-600.3863600000001
-599.320954,184,295.8056,0.1500482709142135,0.1478312066653254,0.8424844145774841,0.8424844145774841,0,100.0,0.2168793334674595,1,-500.0,-600.0,1,100.0,2,0,2,0.1478312066653254,mdp_train.monitor.csv,104,123106,-600.0650122000001,-600.345775
-600.636545,212,296.181726,0.1511219933286895,0.1490166236353349,0.8000404834747314,0.8000404834747314,0,100.0,0.0983376364665028,1,-500.0,-600.0,1,100.0,2,0,2,0.1490166236353349,mdp_train.monitor.csv,105,123318,-600.0669902000001,-600.2578308
-597.436113,163,296.492911,0.151966100909894,0.1497482189793922,0.8427951335906982,0.8427951335906982,0,100.0,0.0251781020607771,1,-500.0,-600.0,1,100.0,1,0,1,0.1497482189793922,mdp_train.monitor.csv,106,123481,-599.5425366,-599.9720365000001
-599.514029,185,296.855791,0.1501487699615721,0.1448856120668353,2.6644279956817627,2.0,1,100.0,0.5114387933164682,1,-500.0,-600.0,1,100.0,4,0,4,0.1448856120668353,mdp_train.monitor.csv,107,123666,-599.3239278000001,-599.9728327
-598.509997,177,297.236347,0.1514303437787058,0.147396762258324,1.5327609777450562,1.5327609777450562,0,100.0,0.2603237741675923,1,-500.0,-600.0,1,100.0,1,0,1,0.147396762258324,mdp_train.monitor.csv,108,123843,-599.0835276,-599.760411
-599.587569,189,297.622373,0.1520610566329408,0.1489337003672203,1.188395380973816,1.188395380973816,0,100.0,0.1066299632779682,1,-500.0,-600.0,1,100.0,1,0,1,0.1489337003672203,mdp_train.monitor.csv,109,124032,-599.1368506000001,-599.6009314
-600.373921,205,298.0401,0.1515956339994938,0.149434130220233,0.8213714361190796,0.8213714361190796,0,100.0,0.0565869779766914,1,-500.0,-600.0,1,100.0,1,0,1,0.149434130220233,mdp_train.monitor.csv,110,124237,-599.0843258,-599.575658
-600.151923,191,298.311224,0.1503364401117066,0.1458484374851871,1.7054409980773926,1.7054409980773926,0,100.0,0.4151562514812856,1,-500.0,-600.0,1,100.0,2,0,2,0.1458484374851871,mdp_train.monitor.csv,111,124428,-599.6274878,-599.5850121999999
-601.641423,220,298.624066,0.1531293246264716,0.1484950954934679,1.7610070705413818,1.7610070705413818,0,100.0,0.1504904506532012,1,-500.0,-600.0,1,100.0,0,0,0,0.1484950954934679,mdp_train.monitor.csv,112,124648,-600.0529666,-599.6884471999999
-600.154973,201,298.906147,0.1516227251229514,0.1493861150993524,0.8499118089675903,0.8499118089675903,0,100.0,0.061388490064751,1,-500.0,-600.0,1,100.0,2,0,2,0.1493861150993524,mdp_train.monitor.csv,113,124849,-600.3819618,-599.7327447
-598.692243,176,300.543531,0.1512236214288953,0.1497918292386949,0.5440810322761536,0.5440810322761536,0,100.0,0.0208170761305026,1,-500.0,-600.0,1,100.0,3,0,3,0.1497918292386949,mdp_train.monitor.csv,114,125025,-600.2028966,-599.6698736000001
-600.582422,210,300.835913,0.1512424849772241,0.1491788281828266,0.7841895818710327,0.7841895818710327,0,100.0,0.0821171817173366,1,-500.0,-600.0,1,100.0,1,0,1,0.1491788281828266,mdp_train.monitor.csv,115,125235,-600.2445968,-599.6644613
-598.987791,184,301.10194,0.1502797880302133,0.1477423820687751,0.9642142653465272,0.9642142653465272,0,100.0,0.2257617931224892,1,-500.0,-600.0,1,100.0,3,0,3,0.1477423820687751,mdp_train.monitor.csv,116,125419,-600.0117704,-599.8196291
-598.387892,174,301.332999,0.1501506961817412,0.1448875382870044,2.328383684158325,2.0,1,100.0,0.5112461712995564,1,-500.0,-600.0,1,100.0,3,0,3,0.1448875382870044,mdp_train.monitor.csv,117,125593,-599.3610642,-599.7070154
-600.742323,206,301.612086,0.1502696770501175,0.1499079992811342,0.1374375522136688,0.1374375522136688,0,100.0,0.0092000718865753,1,-500.0,-600.0,1,100.0,1,0,1,0.1499079992811342,mdp_train.monitor.csv,118,125799,-599.4785342,-599.930248
-601.545665,251,301.948975,0.1500270106117976,0.1489234472403401,0.4193540811538696,0.4193540811538696,0,100.0,0.1076552759659871,1,-500.0,-600.0,1,100.0,5,0,5,0.1489234472403401,mdp_train.monitor.csv,119,126050,-600.0492185999999,-600.1260576
-600.814879,206,302.226283,0.1515273505857608,0.1497558100380887,0.673185408115387,0.673185408115387,0,100.0,0.024418996191125,1,-500.0,-600.0,1,100.0,3,0,3,0.1497558100380887,mdp_train.monitor.csv,120,126256,-600.0957099999999,-600.1701534000001
-599.881441,194,302.475296,0.1511185299084571,0.1495436462592334,0.5984557867050171,0.5984557867050171,0,100.0,0.0456353740766607,1,-500.0,-600.0,1,100.0,1,0,1,0.1495436462592334,mdp_train.monitor.csv,121,126450,-600.2744399999999,-600.1431052
-600.547843,213,302.761504,0.1521984520595475,0.1474704124309664,1.7966550588607788,1.7966550588607788,0,100.0,0.2529587569033514,1,-500.0,-600.0,1,100.0,3,0,3,0.1474704124309664,mdp_train.monitor.csv,122,126663,-600.7064302000001,-600.0337472
-599.853322,201,303.036193,0.1547032677105776,0.1494401098158408,2.074326992034912,2.0,1,100.0,0.0559890184159195,1,-500.0,-600.0,1,100.0,2,0,2,0.1494401098158408,mdp_train.monitor.csv,123,126864,-600.52863,-600.0035821
-600.179603,205,304.778523,0.1514341687172843,0.1479841436481982,1.3110095262527466,1.3110095262527466,0,100.0,0.2015856351801792,1,-500.0,-600.0,1,100.0,1,0,1,0.1479841436481982,mdp_train.monitor.csv,124,127069,-600.2554176000001,-600.1523181
-600.184192,199,305.092279,0.1505586027070194,0.1479123745065085,1.0055667161941528,1.0055667161941528,0,100.0,0.2087625493491451,1,-500.0,-600.0,1,100.0,2,0,2,0.1479123745065085,mdp_train.monitor.csv,125,127268,-600.1292802,-600.1124951
-600.353223,197,305.371809,0.1507233224138615,0.1491488622713243,0.5982948541641235,0.5982948541641235,0,100.0,0.0851137728675649,1,-500.0,-600.0,1,100.0,0,0,0,0.1491488622713243,mdp_train.monitor.csv,126,127465,-600.2236366000001,-600.2490383
-601.38832,219,305.680555,0.1509941806590284,0.1477895651664586,1.2177538871765137,1.2177538871765137,0,100.0,0.2210434833541358,1,-500.0,-600.0,1,100.0,4,0,4,0.1477895651664586,mdp_train.monitor.csv,127,127684,-600.391732,-600.5490811000001
