episode_reward,episode_length,wall_time,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc,source_file,episode,timesteps,moving_average_reward_5,moving_average_reward_10
1110.255306,26279,444.728314,0.3990746908117376,0.3975351886365069,0.585010826587677,0.585010826587677,0,0.0,0.0,0,-0.009935595354507,-0.009935595354507,0,0.0,0,0,0,0.2224510906615241,pomdp_lstm_train.monitor.csv,53,180490,210.82197560000003,-206.51103949999998
-603.022694,299,445.172236,0.1509909329918261,0.1493737789833622,0.6145185232162476,0.6145185232162476,0,100.0,0.0626221016637729,1,-500.0,-600.0,1,100.0,4,0,4,0.1493737789833622,pomdp_lstm_train.monitor.csv,54,180789,194.33360480000005,-205.0813021
-603.360693,301,445.620993,0.1518705112393943,0.1499029757185396,0.7476634979248047,0.7476634979248047,0,100.0,0.0097024281460383,1,-500.0,-600.0,1,100.0,0,0,0,0.1499029757185396,pomdp_lstm_train.monitor.csv,55,181090,163.44545640000004,-203.52557459999997
-603.625883,305,446.056617,0.1504033357232417,0.1470535575102427,1.2729157209396362,1.2729157209396362,0,100.0,0.2946442489757284,1,-500.0,-600.0,1,100.0,0,0,0,0.1470535575102427,pomdp_lstm_train.monitor.csv,56,181395,57.788254200000026,-200.0606422
-609.914548,387,446.608274,0.1527083840013334,0.1481123121933717,1.7465072870254517,1.7465072870254517,0,100.0,0.1887687806628291,1,-500.0,-600.0,1,100.0,2,0,2,0.1481123121933717,pomdp_lstm_train.monitor.csv,57,181782,-261.93370239999996,-199.1533479
-604.429644,314,447.067135,0.1512606390151929,0.1495286892842696,0.6581408977508545,0.6581408977508545,0,100.0,0.0471310715730366,1,-500.0,-600.0,1,100.0,0,0,0,0.1495286892842696,pomdp_lstm_train.monitor.csv,58,182096,-604.8706924,-197.02435839999998
-603.753029,308,449.335012,0.1502438644870722,0.147729067351669,0.9556229114532472,0.9556229114532472,0,100.0,0.2270932648331003,1,-500.0,-600.0,1,100.0,0,0,0,0.147729067351669,pomdp_lstm_train.monitor.csv,59,182404,-605.0167594,-205.34157729999998
-603.860081,303,449.920678,0.1520040511878106,0.1492472654687924,1.0475785732269287,1.0475785732269287,0,100.0,0.0752734531207555,1,-500.0,-600.0,1,100.0,0,0,0,0.1492472654687924,pomdp_lstm_train.monitor.csv,60,182707,-605.116637,-220.83559029999998
-615.951329,484,450.921894,0.1505706648484954,0.1493588430508484,0.4604922831058502,0.4604922831058502,0,100.0,0.0641156949151539,1,-500.0,-600.0,1,100.0,2,0,2,0.1493588430508484,pomdp_lstm_train.monitor.csv,61,183191,-607.5817261999999,-274.896736
-604.772443,315,451.556672,0.1537410530573565,0.1484778951626196,2.3237855434417725,2.0,1,100.0,0.1522104837380328,1,-500.0,-600.0,1,100.0,3,0,3,0.1484778951626196,pomdp_lstm_train.monitor.csv,62,183506,-606.5533051999998,-434.2435038
-609.421334,383,452.333037,0.1545083893526737,0.1497789665826252,1.7971806526184082,1.7971806526184082,0,100.0,0.0221033417374727,1,-500.0,-600.0,1,100.0,2,0,2,0.1497789665826252,pomdp_lstm_train.monitor.csv,63,183889,-607.5516432,-606.2111678
-609.598404,383,453.012132,0.1522788487967886,0.1470156909020518,2.0402979850769043,2.0,1,100.0,0.2984309097948168,1,-500.0,-600.0,1,100.0,2,0,2,0.1470156909020518,pomdp_lstm_train.monitor.csv,64,184272,-608.7207182,-606.8687388
-608.969145,379,454.941013,0.1502452305024121,0.1464379166837315,1.4467792510986328,1.4467792510986328,0,100.0,0.3562083316268477,1,-500.0,-600.0,1,100.0,1,0,1,0.1464379166837315,pomdp_lstm_train.monitor.csv,65,184651,-609.7425310000001,-607.429584
